ID,FECHA,TMP_(°C)
246,11/01/2023,0
247,11/01/2023,0
248,11/01/2023,0
249,11/01/2023,0
250,11/01/2023,0
251,11/01/2023,0
252,11/01/2023,0
253,11/01/2023,0
254,11/01/2023,0
255,11/01/2023,0
256,11/01/2023,0
257,11/01/2023,0
258,11/01/2023,0
259,11/01/2023,0
260,11/01/2023,0
261,11/01/2023,0
262,11/01/2023,0
263,11/01/2023,0
264,11/01/2023,0
265,12/01/2023,0
266,12/01/2023,0
267,12/01/2023,0
268,12/01/2023,0
269,12/01/2023,0
270,12/01/2023,0
271,12/01/2023,0
272,12/01/2023,0
273,12/01/2023,0
274,12/01/2023,0
275,12/01/2023,0
276,12/01/2023,0
277,12/01/2023,0
278,12/01/2023,0
279,12/01/2023,0
280,12/01/2023,0
281,12/01/2023,0
282,12/01/2023,0
283,12/01/2023,0
284,12/01/2023,0
285,12/01/2023,0
286,12/01/2023,0
287,12/01/2023,0
288,12/01/2023,0
289,13/01/2023,0
290,13/01/2023,0
291,13/01/2023,0
292,13/01/2023,0
293,13/01/2023,0
294,13/01/2023,0
295,13/01/2023,0
296,13/01/2023,0
297,13/01/2023,0
298,13/01/2023,0
299,13/01/2023,0
300,13/01/2023,0
301,13/01/2023,0
302,13/01/2023,0
303,13/01/2023,0
304,13/01/2023,0
305,13/01/2023,0
306,13/01/2023,0
307,13/01/2023,0
308,13/01/2023,0
309,13/01/2023,0
310,13/01/2023,0
311,13/01/2023,0
312,13/01/2023,0
313,14/01/2023,0
314,14/01/2023,0
315,14/01/2023,0
316,14/01/2023,0
317,14/01/2023,0
318,14/01/2023,0
319,14/01/2023,0
320,14/01/2023,0
321,14/01/2023,0
322,14/01/2023,0
323,14/01/2023,0
324,14/01/2023,0
325,14/01/2023,0
326,14/01/2023,0
327,14/01/2023,0
328,14/01/2023,0
329,14/01/2023,0
330,14/01/2023,0
331,14/01/2023,0
332,14/01/2023,0
333,14/01/2023,0
334,14/01/2023,0
335,14/01/2023,0
336,14/01/2023,0
337,15/01/2023,0
338,15/01/2023,0
339,15/01/2023,0
340,15/01/2023,0
341,15/01/2023,0
342,15/01/2023,0
343,15/01/2023,0
344,15/01/2023,0
345,15/01/2023,0
346,15/01/2023,0
347,15/01/2023,0
348,15/01/2023,0
349,15/01/2023,0
350,15/01/2023,0
351,15/01/2023,0
352,15/01/2023,0
353,15/01/2023,0
354,15/01/2023,0
355,15/01/2023,0
356,15/01/2023,0
357,15/01/2023,0
358,15/01/2023,0
359,15/01/2023,0
360,15/01/2023,0
361,16/01/2023,0
362,16/01/2023,0
363,16/01/2023,0
364,16/01/2023,0
365,16/01/2023,0
366,16/01/2023,0
367,16/01/2023,0
368,16/01/2023,0
369,16/01/2023,0
370,16/01/2023,0
371,16/01/2023,0
372,16/01/2023,0
373,16/01/2023,0
374,16/01/2023,0
375,16/01/2023,0
376,16/01/2023,0
377,16/01/2023,0
378,16/01/2023,0
379,16/01/2023,0
380,16/01/2023,0
381,16/01/2023,0
382,16/01/2023,0
383,16/01/2023,0
384,16/01/2023,0
385,17/01/2023,9.3
386,17/01/2023,7.3
387,17/01/2023,6.3
388,17/01/2023,5.5
389,17/01/2023,4.8
390,17/01/2023,4.1
391,17/01/2023,3.6
392,17/01/2023,3.3
393,17/01/2023,6.8
394,17/01/2023,11.5
395,17/01/2023,14.6
396,17/01/2023,18.2
397,17/01/2023,21
398,17/01/2023,22.7
399,17/01/2023,23.4
400,17/01/2023,23.3
401,17/01/2023,21.5
402,17/01/2023,19.4
403,17/01/2023,17.7
404,17/01/2023,16.4
405,17/01/2023,15.6
406,17/01/2023,15.2
407,17/01/2023,14.9
408,17/01/2023,14.3
409,18/01/2023,14
410,18/01/2023,13.5
411,18/01/2023,13
412,18/01/2023,11.7
413,18/01/2023,9.5
414,18/01/2023,7.4
415,18/01/2023,6.2
416,18/01/2023,5.6
417,18/01/2023,8.5
418,18/01/2023,12.6
419,18/01/2023,16.2
420,18/01/2023,18.8
421,18/01/2023,21.3
422,18/01/2023,23
423,18/01/2023,24
424,18/01/2023,24.4
425,18/01/2023,23.7
426,18/01/2023,21.2
427,18/01/2023,17.9
428,18/01/2023,16.3
429,18/01/2023,14.6
430,18/01/2023,12.7
431,18/01/2023,10.9
432,18/01/2023,10.2
433,19/01/2023,9.4
434,19/01/2023,8.3
435,19/01/2023,7
436,19/01/2023,6.5
437,19/01/2023,5.6
438,19/01/2023,5.4
439,19/01/2023,4.3
440,19/01/2023,4.3
441,19/01/2023,8.3
442,19/01/2023,12.8
443,19/01/2023,16.2
444,19/01/2023,19
445,19/01/2023,21.4
446,19/01/2023,23.9
447,19/01/2023,24.8
448,19/01/2023,24.6
449,19/01/2023,22
450,19/01/2023,21.6
451,19/01/2023,19.1
452,19/01/2023,17.5
453,19/01/2023,16.5
454,19/01/2023,15.3
455,19/01/2023,12.7
456,19/01/2023,10.3
457,20/01/2023,9.3
458,20/01/2023,8.3
459,20/01/2023,7.1
460,20/01/2023,6.3
461,20/01/2023,5.9
462,20/01/2023,4.9
463,20/01/2023,4.3
464,20/01/2023,4.2
465,20/01/2023,6.9
466,20/01/2023,12
467,20/01/2023,15.2
468,20/01/2023,18.4
469,20/01/2023,20.9
470,20/01/2023,22.6
471,20/01/2023,23.9
472,20/01/2023,24.8
473,20/01/2023,23.9
474,20/01/2023,21.3
475,20/01/2023,18.8
476,20/01/2023,17.1
